,id,film,revenue,genres,vote_count,vote_average,release_date,original_language,orijinal_title,popularity
9,489,Good Will Hunting,225933435,[18],6817,8.1,1997-12-05,en,Good Will Hunting,13.78
10,843,In the Mood for Love,12854953,"[18, 10749]",995,8.1,2000-05-22,cn,花樣年華,13.731
11,12445,Harry Potter and the Deathly Hallows: Part 2,1341511219,"[12, 14]",12947,8.1,2011-07-07,en,Harry Potter and the Deathly Hallows: Part 2,28.13
12,527641,Five Feet Apart,0,"[18, 10749]",1872,8.1,2019-03-15,en,Five Feet Apart,21.796
13,3090,The Treasure of the Sierra Madre,4307000,"[12, 18, 37]",565,8.1,1948-01-24,en,The Treasure of the Sierra Madre,15.071
14,46738,Incendies,0,"[18, 9648, 10752]",1193,8.1,2010-09-04,fr,Incendies,12.922
15,666,Central Station,5596708,[18],370,8.1,1998-11-20,pt,Central do Brasil,9.733
16,1955,The Elephant Man,26010864,"[18, 36]",1738,8.1,1980-10-02,en,The Elephant Man,13.226
17,324786,Hacksaw Ridge,175302354,"[18, 36, 10752]",7493,8.1,2016-10-07,en,Hacksaw Ridge,18.636
18,42229,A Special Day,0,"[18, 10749]",296,8.1,1977-08-11,it,Una giornata particolare,7.822
19,307,"Rome, Open City",0,"[18, 36]",370,8.1,1945-09-27,it,Roma città aperta,8.693
0,19426,Nights of Cabiria,752045,[18],305,8.1,1957-10-03,it,Le notti di Cabiria,12.113
1,655,"Paris, Texas",2181987,[18],687,8.1,1984-05-19,en,"Paris, Texas",14.231
2,600,Full Metal Jacket,46357676,"[18, 10752]",6013,8.1,1987-06-26,en,Full Metal Jacket,19.236
3,7345,There Will Be Blood,77208711,[18],3419,8.1,2007-12-28,en,There Will Be Blood,18.734
4,654,On the Waterfront,9600000,"[80, 18]",786,8.1,1954-06-22,en,On the Waterfront,13.706
5,378108,In This Corner of the World,19496308,"[18, 16, 10749, 10752, 36]",235,8.1,2016-11-12,ja,この世界の片隅に,8.07
6,11423,Memories of Murder,26000000,"[80, 18, 53]",1265,8.1,2003-05-02,ko,살인의 추억,19.776
7,10242,What Ever Happened to Baby Jane?,0,"[18, 27, 53]",521,8.1,1962-10-31,en,What Ever Happened to Baby Jane?,10.083
8,18438,Castaway on the Moon,0,"[35, 18, 10749]",321,8.1,2009-05-14,ko,김씨 표류기,7.309
9,489,Good Will Hunting,225933435,[18],6817,8.1,1997-12-05,en,Good Will Hunting,13.78
10,843,In the Mood for Love,12854953,"[18, 10749]",995,8.1,2000-05-22,cn,花樣年華,13.731
11,12445,Harry Potter and the Deathly Hallows: Part 2,1341511219,"[12, 14]",12947,8.1,2011-07-07,en,Harry Potter and the Deathly Hallows: Part 2,28.13
12,527641,Five Feet Apart,0,"[18, 10749]",1872,8.1,2019-03-15,en,Five Feet Apart,21.796
13,3090,The Treasure of the Sierra Madre,4307000,"[12, 18, 37]",565,8.1,1948-01-24,en,The Treasure of the Sierra Madre,15.071
14,46738,Incendies,0,"[18, 9648, 10752]",1193,8.1,2010-09-04,fr,Incendies,12.922
15,666,Central Station,5596708,[18],370,8.1,1998-11-20,pt,Central do Brasil,9.733
16,1955,The Elephant Man,26010864,"[18, 36]",1738,8.1,1980-10-02,en,The Elephant Man,13.226
17,324786,Hacksaw Ridge,175302354,"[18, 36, 10752]",7493,8.1,2016-10-07,en,Hacksaw Ridge,18.636
18,42229,A Special Day,0,"[18, 10749]",296,8.1,1977-08-11,it,Una giornata particolare,7.822
19,307,"Rome, Open City",0,"[18, 36]",370,8.1,1945-09-27,it,Roma città aperta,8.693
