,title,adult,genre_ids,original_language,popularity,release_date,vote_average,vote_count,Date,Budget,Rank,Worldwide,Domestic,%,Foreign,%.1,Title
2919,Last Flag Flying,,,,,,,,,,326.0,"$1,872,950","$965,481",51.5%,"$907,469",48.5%,Last Flag Flying
2920,Last Holiday,,,,,,,,"Jan 13, 2006"," $45,000,000",," $43,343,247"," $38,399,961",,,,Last Holiday
2921,Last Letter,,,,,,,,,,204.0,"$11,834,622","$180,946",1.5%,"$11,653,676",98.5%,Last Letter
2922,Last Man Standing,,,,,,,,"Sep 20, 1996"," $67,000,000",," $18,115,927"," $18,115,927",,,,Last Man Standing
2923,Last Men in Aleppo,,,,,,,,,,665.0,"$14,637","$14,637",100%,-,-,Last Men in Aleppo
2924,Last Tango in Paris,False,"[Drama, Romance]",it,14.29,1972-10-14,7.1,625.0,,,,,,,,,Last Tango in Paris
2925,Last Year at Marienbad,False,"[Drama, Romance]",fr,6.183,1961-05-25,7.7,228.0,,,,,,,,,Last Year at Marienbad
2926,Last Year at Marienbad 2019 Re-release,,,,,,,,,,527.0,"$68,402","$63,425",92.7%,"$4,977",7.3%,Last Year at Marienbad 2019 Re-release
2927,Late Night,,,,,,,,,,133.0,"$22,386,555","$15,499,454",69.2%,"$6,887,101",30.8%,Late Night
2928,Late Spring,,,,,,,,,,671.0,"$13,254","$13,254",100%,-,-,Late Spring
2929,Laura,False,"[Drama, Mystery]",en,10.093,1944-10-11,7.7,373.0,,,,,,,,,Laura
2930,Laurence Anyways,False,"[Drama, Romance]",fr,7.11,2012-05-18,7.8,425.0,,,,,,,,,Laurence Anyways
2931,Lava,False,"[Animation, Family]",en,9.472000000000001,2014-10-10,7.4,686.0,,,,,,,,,Lava
2932,Law Abiding Citizen,False,"[Crime, Drama, Thriller]",en,12.274000000000001,2009-10-15,7.3,2930.0,"Oct 16, 2009"," $53,000,000",," $131,159,781"," $73,357,727",,,,Law Abiding Citizen
2933,Lawrence of Arabia,False,"[Adventure, Drama, History, War]",en,19.246,1962-12-10,8.0,1622.0,,,,,,,,,Lawrence of Arabia
2934,Lawrence of Arabia 2019 Re-release,,,,,,,,,,344.0,"$482,281","$482,281",100%,-,-,Lawrence of Arabia 2019 Re-release
2935,Laws of Attraction,,,,,,,,"Apr 30, 2004"," $32,000,000",," $29,948,322"," $17,848,322",,,,Laws of Attraction
2936,Lazer Team,,,,,,,,,,339.0,"$1,406,538","$1,186,426",84.4%,"$220,112",15.6%,Lazer Team
2937,Le Cercle Rouge,False,"[Drama, Thriller, Crime]",fr,7.307,1970-10-19,7.7,277.0,,,,,,,,,Le Cercle Rouge
