,title,adult,genre_ids,original_language,popularity,release_date,vote_average,vote_count,Date,Budget,Rank,Worldwide,Domestic,%,Foreign,%.1,Title
215,A Tuba to Cuba,,,,,,,,,,486.0,"$121,772","$121,772",100%,-,-,A Tuba to Cuba
216,A United Kingdom,,,,,,,,,,192.0,"$14,459,330","$3,902,185",27%,"$10,557,145",73%,A United Kingdom
217,A Very Long Engagement,False,"[Drama, Romance, War]",fr,10.802999999999999,2004-10-26,7.3,673.0,,,,,,,,,A Very Long Engagement
218,A View to a Kill,False,"[Action, Adventure, Thriller]",en,20.215,1985-05-24,6.2,975.0,,,,,,,,,A View to a Kill
219,A Walk in the Woods,,,,,,,,,,139.0,"$37,461,274","$29,504,281",78.8%,"$7,956,993",21.2%,A Walk in the Woods
220,A Walk to Remember,False,"[Drama, Romance]",en,10.484000000000002,2002-01-25,7.6,2450.0,,,,,,,,,A Walk to Remember
221,A War,,,,,,,,,,350.0,"$1,114,663","$122,902",11%,"$991,761",89%,A War
222,A Whale of a Tale,,,,,,,,,,851.0,"$6,747","$6,747",100%,-,-,A Whale of a Tale
223,"A White, White Day",,,,,,,,,,391.0,"$286,268",-,-,"$286,268",100%,"A White, White Day"
224,A Wizard's Tale,,,,,,,,,,256.0,"$5,487,261","$2,150",<0.1%,"$5,485,111",100%,A Wizard's Tale
225,A Woman's Life,,,,,,,,,,366.0,"$895,944","$37,626",4.2%,"$858,318",95.8%,A Woman's Life
226,"A Woman, a Part",,,,,,,,,,615.0,"$23,562","$23,562",100%,-,-,"A Woman, a Part"
227,A Wrinkle in Time,,,,,,,,"Mar 9, 2018"," $103,000,000",53.0,"$132,675,864","$100,478,608",75.7%,"$32,197,256",24.3%,A Wrinkle in Time
228,A la mala,,,,,,,,,,280.0,"$3,646,627","$3,629,842",99.5%,"$16,785",0.5%,A la mala
229,A-X-L,,,,,,,,,,231.0,"$8,467,697","$6,501,381",76.8%,"$1,966,316",23.2%,A-X-L
230,A.I. Artificial Intelligence,False,"[Adventure, Drama, Science Fiction]",en,16.09,2001-06-29,7.0,3912.0,,,,,,,,,A.I. Artificial Intelligence
231,ACORN and the Firestorm,,,,,,,,,,885.0,"$2,621","$2,621",100%,-,-,ACORN and the Firestorm
232,AVP: Alien Vs. Predator,,,,,,,,"Aug 13, 2004"," $70,000,000",," $172,543,519"," $80,281,096",,,,AVP: Alien Vs. Predator
233,Abacus: Small Enough to Jail,,,,,,,,,,499.0,"$113,278","$113,278",100%,-,-,Abacus: Small Enough to Jail
234,Abduction,,,,,,,,"Sep 23, 2011"," $35,000,000",," $86,648,359"," $28,087,155",,,,Abduction
235,Abominable,,,,,,,,"Sep 19, 2019"," $75,000,000",44.0,"$189,805,347","$60,716,390",32%,"$129,088,957",68%,Abominable
236,About Elly,False,[Drama],fa,10.55,2009-02-10,7.5,226.0,,,,,,,,,About Elly
237,About Elly 2015 Re-release,,,,,,,,,,413.0,"$470,760","$470,760",100%,-,-,About Elly 2015 Re-release
238,About Time,False,"[Comedy, Drama, Fantasy, Romance]",en,14.877,2013-08-16,7.9,4643.0,,,,,,,,,About Time
239,Above and Below,,,,,,,,,,757.0,"$1,189",-,-,"$1,189",100%,Above and Below
240,Above and Beyond,,,,,,,,,,449.0,"$288,751","$288,751",100%,-,-,Above and Beyond
241,Above and Beyond: NASA's Journey to Tomorrow,,,,,,,,,,657.0,"$74,711","$74,711",100%,-,-,Above and Beyond: NASA's Journey to Tomorrow
242,Abracadabra,,,,,,,,,,317.0,"$2,114,260","$13,975",0.7%,"$2,100,285",99.3%,Abracadabra
243,Abraham Lincoln: Vampire Hunter,,,,,,,,"Jun 20, 2012"," $67,500,000",," $137,489,730"," $37,519,139",,,,Abraham Lincoln: Vampire Hunter
244,Absence of Malice,False,"[Drama, Thriller, Romance]",en,5.784,1981-11-19,6.9,90.0,,,,,,,,,Absence of Malice
245,Absolute Power,,,,,,,,"Feb 14, 1997"," $50,000,000",," $50,068,310"," $50,068,310",,,,Absolute Power
246,Absolutely Anything,,,,,,,,,,246.0,"$6,303,792","$20,169",0.3%,"$6,283,623",99.7%,Absolutely Anything
247,Absolutely Fabulous: The Movie,,,,,,,,,,130.0,"$39,219,109","$4,772,155",12.2%,"$34,446,954",87.8%,Absolutely Fabulous: The Movie
248,"Accidental Courtesy: Daryl Davis, Race & America",,,,,,,,,,773.0,"$1,940","$1,940",100%,-,-,"Accidental Courtesy: Daryl Davis, Race & America"
249,Ace Ventura: When Nature Calls,False,"[Adventure, Comedy, Crime]",en,12.911,1995-11-10,6.3,2443.0,,,,,,,,,Ace Ventura: When Nature Calls
250,Ace in the Hole,False,[Drama],en,9.385,1951-06-29,8.0,271.0,,,,,,,,,Ace in the Hole
251,Across the Universe,,,,,,,,"Sep 14, 2007"," $45,000,000",," $29,367,143"," $24,343,673",,,,Across the Universe
252,Across the Universe 2018 Re-release,,,,,,,,,,522.0,"$258,618","$258,618",100%,-,-,Across the Universe 2018 Re-release
253,Action Point,,,,,,,,,,258.0,"$5,103,663","$5,059,608",99.1%,"$44,055",0.9%,Action Point
254,Active Measures,,,,,,,,,,780.0,"$19,862","$19,862",100%,-,-,Active Measures
255,Ad Astra,,,,,,,,"Sep 19, 2019"," $80,000,000",55.0,"$132,807,427","$50,188,370",37.8%,"$82,619,057",62.2%,Ad Astra
256,Adam's Apples,False,"[Comedy, Crime, Drama]",da,9.953,2005-04-15,7.5,358.0,,,,,,,,,Adam's Apples
257,Adaptation.,False,"[Comedy, Crime, Drama]",en,9.796,2002-12-06,7.4,1334.0,,,,,,,,,Adaptation.
258,Addams Family Values,,,,,,,,"Nov 19, 1993"," $47,000,000",," $46,293,855"," $46,293,855",,,,Addams Family Values
259,Adrift,,,,,,,,"Jun 1, 2018"," $35,000,000",97.0,"$59,945,012","$31,445,012",52.5%,"$28,500,000",47.5%,Adrift
260,Adult Beginners,,,,,,,,,,495.0,"$108,808","$108,808",100%,-,-,Adult Beginners
261,Ae Dil Hai Mushkil,,,,,,,,,,136.0,"$31,668,920","$4,264,983",13.5%,"$27,403,937",86.5%,Ae Dil Hai Mushkil
262,Aeon Flux,,,,,,,,"Dec 2, 2005"," $55,000,000",," $53,913,573"," $25,857,987",,,,Aeon Flux
263,Aferim!,,,,,,,,,,435.0,"$350,110","$108,110",30.9%,"$242,000",69.1%,Aferim!
264,After,,,,,,,,,,84.0,"$69,733,482","$12,138,565",17.4%,"$57,594,917",82.6%,After
265,After Auschwitz,,,,,,,,,,659.0,"$73,885","$73,885",100%,-,-,After Auschwitz
266,After Earth,,,,,,,,"May 31, 2013"," $130,000,000",," $251,499,665"," $60,522,097",,,,After Earth
267,After Hours,False,"[Comedy, Thriller, Drama]",en,11.049000000000001,1985-09-13,7.5,603.0,,,,,,,,,After Hours
268,After Love,,,,,,,,,,323.0,"$1,728,251","$13,693",0.8%,"$1,714,558",99.2%,After Love
269,After the Ball,,,,,,,,,,455.0,"$234,417","$161,820",69%,"$72,597",31%,After the Ball
270,After the Storm,,,,,,,,,,259.0,"$5,382,886","$272,132",5.1%,"$5,110,754",94.9%,After the Storm
271,After the Sunset,,,,,,,,"Nov 12, 2004"," $57,000,000",," $38,329,114"," $28,328,132",,,,After the Sunset
272,After the Wedding,,,,,,,,,,234.0,"$2,694,390","$1,574,258",58.4%,"$1,120,132",41.6%,After the Wedding
273,Afterimage,,,,,,,,,,368.0,"$943,029","$33,443",3.5%,"$909,586",96.5%,Afterimage
274,Against the Ropes,,,,,,,,"Feb 20, 2004"," $39,000,000",," $6,429,865"," $5,881,504",,,,Against the Ropes
275,Against the Sun,,,,,,,,,,692.0,"$4,646","$4,646",100%,-,-,Against the Sun
276,Agent Mr. Chan,,,,,,,,,,544.0,"$208,351","$208,351",100%,-,-,Agent Mr. Chan
277,Agora,,,,,,,,"May 28, 2010"," $70,000,000",," $38,992,292"," $619,423",,,,Agora
278,"Aguirre, the Wrath of God",False,"[Adventure, Drama, History]",de,11.763,1972-12-29,7.6,506.0,,,,,,,,,"Aguirre, the Wrath of God"
279,Aida's Secrets,,,,,,,,,,510.0,"$98,468","$98,468",100%,-,-,Aida's Secrets
280,Air Force One,False,"[Action, Thriller]",en,12.228,1997-07-25,6.4,1590.0,"Jul 25, 1997"," $85,000,000",," $315,268,353"," $172,956,409",,,,Air Force One
281,Air Strike,,,,,,,,"Oct 26, 2018"," $65,000,000",," $516,279", $0,,,,Air Strike
282,Airplane!,False,[Comedy],en,19.859,1980-07-02,7.3,2392.0,,,,,,,,,Airplane!
283,Airpocalypse,,,,,,,,,,169.0,"$18,491,089","$105,678",0.6%,"$18,385,411",99.4%,Airpocalypse
284,Airport,False,"[Action, Drama, Thriller]",en,9.058,1970-03-05,6.5,169.0,,,,,,,,,Airport
285,Airport '77,False,"[Action, Adventure, Drama, Thriller]",en,9.196,1977-03-11,5.7,126.0,,,,,,,,,Airport '77
286,Airport 1975,False,"[Action, Adventure, Drama, Thriller]",en,8.923,1974-10-18,5.7,123.0,,,,,,,,,Airport 1975
287,Aiyaary,,,,,,,,,,586.0,"$143,108",-,-,"$143,108",100%,Aiyaary
288,Akira,False,"[Animation, Science Fiction]",ja,15.439,1988-07-16,7.9,1922.0,,,,,,,,,Akira
289,Aladdin,False,"[Adventure, Animation, Fantasy, Romance, Family]",en,30.211,1992-11-25,7.6,7417.0,"May 22, 2019"," $182,000,000",9.0,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%,Aladdin
291,Alex Cross,,,,,,,,"Oct 17, 2012"," $35,000,000",," $35,426,759"," $25,888,412",,,,Alex Cross
292,Alex Rider: Operation Stormbreaker,,,,,,,,"Oct 13, 2006"," $40,000,000",," $20,722,450"," $659,210",,,,Alex Rider: Operation Stormbreaker
293,Alexander,,,,,,,,"Nov 24, 2004"," $155,000,000",," $167,297,191"," $34,297,191",,,,Alexander
294,Alfie,,,,,,,,"Nov 5, 2004"," $40,000,000",," $35,195,939"," $13,395,939",,,,Alfie
295,Ali,,,,,,,,"Dec 25, 2001"," $109,000,000",," $87,683,966"," $58,183,966",,,,Ali
296,Alice Through the Looking Glass,,,,,,,,"May 20, 2016"," $170,000,000",33.0,"$299,457,024","$77,041,381",25.7%,"$222,415,643",74.3%,Alice Through the Looking Glass
297,Alice in Wonderland,False,"[Adventure, Fantasy, Family]",en,24.048000000000002,2010-03-03,6.6,9715.0,"Mar 5, 2010"," $200,000,000",," $1,025,491,110"," $334,191,110",,,,Alice in Wonderland
298,Alien,False,"[Horror, Science Fiction]",en,23.642,1979-05-25,8.1,8533.0,,,,,,,,,Alien
299,Alien 2019 Re-release,,,,,,,,,,269.0,"$1,356,259","$833,658",61.5%,"$522,601",38.5%,Alien 2019 Re-release
300,Alien 3,,,,,,,,"May 22, 1992"," $55,000,000",," $158,500,000"," $54,927,174",,,,Alien 3
301,Alien Intrusion: Unmasking a Deception,,,,,,,,,,530.0,"$237,411","$237,411",100%,-,-,Alien Intrusion: Unmasking a Deception
302,Alien: Covenant,,,,,,,,"May 4, 2017"," $97,000,000",39.0,"$240,891,763","$74,262,031",30.8%,"$166,629,732",69.2%,Alien: Covenant
303,Alien: Resurrection,,,,,,,,"Nov 26, 1997"," $60,000,000",," $160,700,000"," $47,795,018",,,,Alien: Resurrection
304,Aliens,False,"[Action, Science Fiction, Thriller]",en,23.025,1986-07-18,7.9,5675.0,,,,,,,,,Aliens
305,Aliens in the Attic,,,,,,,,"Jul 31, 2009"," $45,000,000",," $59,551,283"," $25,200,412",,,,Aliens in the Attic
306,Aliens vs. Predator - Requiem,,,,,,,,"Dec 25, 2007"," $40,000,000",," $128,884,494"," $41,797,066",,,,Aliens vs. Predator - Requiem
307,Alien³,False,"[Action, Horror, Science Fiction]",en,18.585,1992-05-22,6.3,3170.0,,,,,,,,,Alien³
308,Alita: Battle Angel,False,"[Action, Adventure, Science Fiction, Thriller]",en,30.226999999999997,2019-01-31,6.9,4334.0,"Feb 1, 2019"," $170,000,000",21.0,"$404,852,543","$85,710,210",21.2%,"$319,142,333",78.8%,Alita: Battle Angel
309,Alive,,,,,,,,"Jan 15, 1993"," $32,000,000",," $36,299,670"," $36,299,670",,,,Alive
310,Alive and Kicking,,,,,,,,,,532.0,"$68,485","$68,485",100%,-,-,Alive and Kicking
311,All About Eve,False,[Drama],en,9.603,1950-10-06,8.2,801.0,,,,,,,,,All About Eve
312,All About My Mother,False,"[Comedy, Drama]",es,14.627,1999-04-19,7.7,885.0,,,,,,,,,All About My Mother
313,All About Nina,,,,,,,,,,630.0,"$100,335","$100,335",100%,-,-,All About Nina
314,All Eyez on Me,,,,,,,,"Jun 15, 2016"," $45,000,000",101.0,"$55,668,698","$44,922,302",80.7%,"$10,746,396",19.3%,All Eyez on Me
315,All I See Is You,,,,,,,,,,391.0,"$678,150","$217,644",32.1%,"$460,506",67.9%,All I See Is You
316,All Is True,,,,,,,,,,230.0,"$3,019,143","$1,200,481",39.8%,"$1,818,662",60.2%,All Is True
317,All Quiet on the Western Front,False,"[Drama, War]",en,9.65,1930-04-29,7.8,347.0,,,,,,,,,All Quiet on the Western Front
318,All Saints,,,,,,,,,,236.0,"$5,942,565","$5,802,208",97.6%,"$140,357",2.4%,All Saints
319,All That Jazz,False,[Drama],en,7.551,1979-12-20,7.4,196.0,,,,,,,,,All That Jazz
320,All These Sleepless Nights,,,,,,,,,,630.0,"$20,762","$20,762",100%,-,-,All These Sleepless Nights
321,All Things Must Pass: The Rise and Fall of Tower Records,,,,,,,,,,467.0,"$172,394","$172,394",100%,-,-,All Things Must Pass: The Rise and Fall of Tower Records
322,All Three of Us,False,"[Comedy, Drama]",fr,6.34,2015-11-04,7.7,309.0,,,,,,,,,All Three of Us
323,All the Bright Places,False,"[Drama, Romance]",en,93.054,2020-02-28,7.5,235.0,,,,,,,,,All the Bright Places
324,All the King's Men,,,,,,,,"Sep 22, 2006"," $55,000,000",," $9,521,458"," $7,221,458",,,,All the King's Men
325,All the Money in the World,,,,,,,,"Dec 25, 2017"," $50,000,000",98.0,"$56,996,304","$25,113,707",44.1%,"$31,882,597",55.9%,All the Money in the World
326,All the President's Men,False,"[Drama, History, Mystery, Thriller]",en,20.01,1976-04-04,7.8,911.0,,,,,,,,,All the President's Men
327,All the Pretty Horses,,,,,,,,"Dec 22, 2000"," $45,000,000",," $18,120,267"," $15,527,125",,,,All the Pretty Horses
328,All the Queen's Horses,,,,,,,,,,657.0,"$16,172","$16,172",100%,-,-,All the Queen's Horses
329,All the Rage,,,,,,,,,,641.0,"$18,489","$18,489",100%,-,-,All the Rage
330,Allegiance to Broadway,,,,,,,,,,788.0,"$18,527","$18,527",100%,-,-,Allegiance to Broadway
331,Allegiant,,,,,,,,,,51.0,"$179,246,868","$66,184,051",36.9%,"$113,062,817",63.1%,Allegiant
332,Allied,,,,,,,,"Nov 20, 2016"," $106,000,000",65.0,"$119,520,023","$40,098,064",33.5%,"$79,421,959",66.5%,Allied
333,Almost Christmas,,,,,,,,,,126.0,"$42,580,920","$42,158,780",99%,"$422,140",1%,Almost Christmas
334,Almost Famous,False,"[Drama, Music]",en,12.155,2000-09-15,7.5,1508.0,"Sep 15, 2000"," $60,000,000",," $47,371,191"," $32,522,352",,,,Almost Famous
335,Almost Friends,,,,,,,,,,574.0,"$35,842","$1,481",4.1%,"$34,361",95.9%,Almost Friends
336,Almost Holy,,,,,,,,,,610.0,"$23,957","$21,142",88.2%,"$2,815",11.8%,Almost Holy
337,Aloft,,,,,,,,,,450.0,"$270,971","$53,086",19.6%,"$217,885",80.4%,Aloft
338,Aloha,,,,,,,,"May 27, 2015"," $37,000,000",163.0,"$26,250,020","$21,067,116",80.3%,"$5,182,904",19.7%,Aloha
339,"Aloha, Bobby and Rose",False,"[Drama, Romance]",en,1.952,1975-04-29,5.8,6.0,,,,,,,,,"Aloha, Bobby and Rose"
340,Alone in Berlin,,,,,,,,,,346.0,"$1,205,598","$33,125",2.7%,"$1,172,473",97.3%,Alone in Berlin
341,Along Came Polly,,,,,,,,"Jan 16, 2004"," $42,000,000",," $173,044,410"," $88,073,507",,,,Along Came Polly
342,Along With the Gods: The Last 49 Days,,,,,,,,,,64.0,"$97,962,238","$1,200,246",1.2%,"$96,761,992",98.8%,Along With the Gods: The Last 49 Days
343,Along With the Gods: The Two Worlds,,,,,,,,,,72.0,"$109,383,972","$1,908,823",1.7%,"$107,475,149",98.3%,Along With the Gods: The Two Worlds
344,Along the Roadside 2015 Re-release,,,,,,,,,,725.0,"$1,352","$1,352",100%,-,-,Along the Roadside 2015 Re-release
345,Alpha,,,,,,,,"Aug 15, 2018"," $51,000,000",63.0,"$98,203,196","$35,857,181",36.5%,"$62,346,015",63.5%,Alpha
346,Already Tomorrow in Hong Kong,,,,,,,,,,624.0,"$21,206","$21,206",100%,-,-,Already Tomorrow in Hong Kong
347,Altered Perception,,,,,,,,,,892.0,"$1,259","$1,259",100%,-,-,Altered Perception
348,Alvin and the Chipmunks,False,"[Animation, Comedy, Fantasy, Family]",en,14.18,2007-12-13,5.7,2810.0,"Dec 14, 2007"," $55,000,000",," $362,605,033"," $217,326,974",,,,Alvin and the Chipmunks
349,Alvin and the Chipmunks: Chipwrecked,False,"[Animation, Comedy, Fantasy, Music, Family]",en,16.622,2011-12-14,5.6,1256.0,"Dec 14, 2011"," $80,000,000",," $349,088,523"," $133,107,389",,,,Alvin and the Chipmunks: Chipwrecked
350,Alvin and the Chipmunks: The Road Chip,,,,,,,,"Dec 18, 2015"," $90,000,000",34.0,"$234,798,636","$85,886,987",36.6%,"$148,911,649",63.4%,Alvin and the Chipmunks: The Road Chip
351,Alvin and the Chipmunks: The Squeakquel,False,"[Animation, Comedy, Fantasy, Music, Family]",en,16.73,2009-12-21,5.5,1757.0,"Dec 23, 2009"," $70,000,000",," $443,483,213"," $219,614,612",,,,Alvin and the Chipmunks: The Squeakquel
352,Always Miss You,,,,,,,,,,138.0,"$19,015,465","$91,884",0.5%,"$18,923,581",99.5%,Always Miss You
353,Always Shine,,,,,,,,,,654.0,"$17,102","$17,102",100%,-,-,Always Shine
354,Always at The Carlyle,,,,,,,,,,564.0,"$174,251","$174,251",100%,-,-,Always at The Carlyle
355,Amadeus,False,"[Drama, History, Music]",en,14.114,1984-09-06,8.0,2349.0,,,,,,,,,Amadeus
356,Amanda & Jack Go Glamping,,,,,,,,,,760.0,"$3,352","$3,352",100%,-,-,Amanda & Jack Go Glamping
357,Amarcord,False,"[Comedy, Drama]",it,11.886,1973-12-13,8.0,494.0,,,,,,,,,Amarcord
358,Amazing Grace,,,,,,,,,,236.0,"$7,797,395","$4,450,456",57.1%,"$3,346,939",42.9%,Amazing Grace
359,Amelia,,,,,,,,"Oct 23, 2009"," $40,000,000",," $19,756,077"," $14,279,575",,,,Amelia
360,Amelia 2.0,,,,,,,,,,691.0,"$10,233","$10,233",100%,-,-,Amelia 2.0
361,AmeriGeddon,,,,,,,,,,419.0,"$316,554","$316,554",100%,-,-,AmeriGeddon
362,America's Sweethearts,,,,,,,,"Jul 20, 2001"," $46,000,000",," $160,648,493"," $93,607,673",,,,America's Sweethearts
363,American Animals,,,,,,,,,,273.0,"$4,080,073","$2,856,954",70%,"$1,223,119",30%,American Animals
364,American Assassin,,,,,,,,"Sep 14, 2017"," $63,000,000",85.0,"$67,234,188","$36,249,674",53.9%,"$30,984,514",46.1%,American Assassin
365,American Beauty,False,[Drama],en,27.429000000000002,1999-09-15,8.0,7447.0,,,,,,,,,American Beauty
366,American Chaos,,,,,,,,,,818.0,"$12,368","$12,368",100%,-,-,American Chaos
367,American Dream: Detroit,,,,,,,,,,688.0,"$55,092","$55,092",100%,-,-,American Dream: Detroit
368,American Dresser,,,,,,,,,,872.0,"$3,895","$3,895",100%,-,-,American Dresser
369,American Gangster,False,"[Crime, Drama]",en,16.549,2007-11-02,7.6,3070.0,"Nov 2, 2007"," $100,000,000",," $267,985,456"," $130,164,645",,,,American Gangster
370,American Graffiti,False,"[Comedy, Drama]",en,11.918,1973-08-01,7.1,734.0,,,,,,,,,American Graffiti
371,American History X,False,[Drama],en,33.809,1998-10-30,8.4,6868.0,,,,,,,,,American History X
372,American Honey,,,,,,,,,,303.0,"$2,290,649","$663,246",29%,"$1,627,403",71%,American Honey
373,American Hustle,,,,,,,,"Dec 12, 2013"," $40,000,000",," $257,858,943"," $150,098,456",,,,American Hustle
374,American Made,,,,,,,,"Aug 23, 2017"," $50,000,000",63.0,"$134,866,593","$51,342,000",38.1%,"$83,524,593",61.9%,American Made
375,American Outlaws,,,,,,,,"Aug 17, 2001"," $35,000,000",," $13,601,109"," $13,264,986",,,,American Outlaws
376,American Pastoral,,,,,,,,,,310.0,"$2,063,436","$544,098",26.4%,"$1,519,338",73.6%,American Pastoral
377,American Pie,False,"[Comedy, Romance]",en,19.499000000000002,1999-07-09,6.5,4868.0,,,,,,,,,American Pie
378,American Pie 2,False,"[Comedy, Romance]",en,14.296,2001-08-10,6.1,3003.0,,,,,,,,,American Pie 2
379,American Psycho,False,"[Thriller, Drama, Crime, Horror]",en,16.451,2000-04-13,7.3,5057.0,,,,,,,,,American Psycho
380,American Reunion,,,,,,,,"Apr 4, 2012"," $50,000,000",," $236,799,211"," $56,758,835",,,,American Reunion
381,American Satan,,,,,,,,,,455.0,"$237,708","$237,708",100%,-,-,American Satan
382,American Sniper,False,"[Action, War]",en,14.493,2014-12-11,7.4,8480.0,"Dec 25, 2014"," $58,000,000",," $547,326,372"," $350,126,372",,,,American Sniper
383,American Socialist: The Life and Times of Eugene Victor Debs,,,,,,,,,,815.0,"$12,609","$12,609",100%,-,-,American Socialist: The Life and Times of Eugene Victor Debs
384,American Ultra,,,,,,,,,,162.0,"$27,262,374","$14,440,985",53%,"$12,821,389",47%,American Ultra
385,American Wedding,False,"[Comedy, Romance]",en,14.905,2003-08-01,6.1,2524.0,"Aug 1, 2003"," $55,000,000",," $126,425,115"," $104,354,205",,,,American Wedding
386,American Woman,,,,,,,,,,409.0,"$245,416","$236,637",96.4%,"$8,779",3.6%,American Woman
387,Americons,,,,,,,,,,583.0,"$28,782","$28,782",100%,-,-,Americons
388,Amira & Sam,,,,,,,,,,576.0,"$31,849","$31,849",100%,-,-,Amira & Sam
389,Amistad,,,,,,,,"Dec 12, 1997"," $40,000,000",," $58,250,151"," $44,212,592",,,,Amistad
390,Amityville: The Awakening,,,,,,,,,,214.0,"$8,481,997",$742,<0.1%,"$8,481,255",100%,Amityville: The Awakening
391,Amnesia,,,,,,,,,,701.0,"$8,700","$8,700",100%,-,-,Amnesia
392,Among the Believers,,,,,,,,,,738.0,"$4,189","$4,189",100%,-,-,Among the Believers
393,Amores Perros,False,"[Drama, Thriller]",es,12.709000000000001,2000-06-16,7.7,1204.0,,,,,,,,,Amores Perros
394,Amour,False,"[Drama, Romance]",fr,11.049000000000001,2012-07-01,7.8,860.0,,,,,,,,,Amour
395,Amsal,,,,,,,,,,76.0,"$96,119,773","$1,904,682",2%,"$94,215,091",98%,Amsal
396,Amy,,,,,,,,,,169.0,"$23,706,049","$8,413,144",35.5%,"$15,292,905",64.5%,Amy
397,Amélie,False,"[Comedy, Romance]",fr,19.15,2001-04-25,7.9,7085.0,,,,,,,,,Amélie
398,An Acceptable Loss,,,,,,,,,,564.0,"$32,427","$32,427",100%,-,-,An Acceptable Loss
399,An Actor Prepares,,,,,,,,,,855.0,"$5,891","$1,743",29.6%,"$4,148",70.4%,An Actor Prepares
400,An Affair to Remember,False,"[Drama, Romance]",en,5.825,1957-07-11,7.4,205.0,,,,,,,,,An Affair to Remember
401,An American Crime,False,"[Crime, Drama]",en,10.144,2007-07-27,7.3,333.0,,,,,,,,,An American Crime
402,An American Tail,False,"[Drama, Family, Animation, Adventure, Music]",en,13.07,1986-11-21,6.7,785.0,,,,,,,,,An American Tail
403,An American Werewolf in London,False,"[Comedy, Horror]",en,13.19,1981-08-21,7.3,1152.0,,,,,,,,,An American Werewolf in London
404,An Elephant Sitting Still,,,,,,,,,,714.0,"$39,599","$32,556",82.2%,"$7,043",17.8%,An Elephant Sitting Still
405,An Elephant's Journey,,,,,,,,,,755.0,"$24,844","$24,844",100%,-,-,An Elephant's Journey
406,An Evening with Beverly Luff Linn,,,,,,,,,,746.0,"$27,359","$6,701",24.5%,"$20,658",75.5%,An Evening with Beverly Luff Linn
407,An Eye for Beauty,,,,,,,,,,556.0,"$45,513","$9,395",20.6%,"$36,118",79.4%,An Eye for Beauty
408,An Honest Liar,,,,,,,,,,464.0,"$180,590","$180,590",100%,-,-,An Honest Liar
409,An Inconvenient Sequel: Truth to Power,,,,,,,,,,242.0,"$5,433,926","$3,496,795",64.4%,"$1,937,131",35.6%,An Inconvenient Sequel: Truth to Power
410,An Interview with God,,,,,,,,,,317.0,"$2,251,795","$1,201,434",53.4%,"$1,050,361",46.6%,An Interview with God
411,An L.A. Minute,,,,,,,,,,863.0,"$5,004","$5,004",100%,-,-,An L.A. Minute
412,An Officer and a Gentleman,False,"[Drama, Romance]",en,13.398,1982-07-28,6.9,545.0,,,,,,,,,An Officer and a Gentleman
413,An Officer and a Spy,False,"[Drama, History]",fr,14.126,2019-09-30,7.4,333.0,,,,,,,,,An Officer and a Spy
414,An Unmarried Woman,False,"[Comedy, Drama, Romance]",en,4.58,1978-05-26,6.7,26.0,,,,,,,,,An Unmarried Woman
415,Anaconda,,,,,,,,"Apr 11, 1997"," $45,000,000",," $136,998,907"," $65,598,907",,,,Anaconda
416,Analyze That,,,,,,,,"Dec 6, 2002"," $60,000,000",," $54,994,757"," $32,122,249",,,,Analyze That
417,Anastasia,False,"[Animation, Family]",en,11.958,1997-11-20,7.6,3543.0,"Nov 14, 1997"," $53,000,000",," $139,801,096"," $58,403,409",,,,Anastasia
418,Anatahan,,,,,,,,,,708.0,"$8,171","$8,171",100%,-,-,Anatahan
