,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
5,False,/7FE4OF0nNGL3BFS7NygJzTSLy91.jpg,"[12, 16, 10751, 878, 35]",10386,en,The Iron Giant,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",12.36,/rdN6IjV4xlDDhrT8ewkkJfPvp2e.jpg,1999-08-06,The Iron Giant,False,7.8,3202
6,False,/pLvH5txR35Yi0IK9fOwjR0cD9Kj.jpg,"[53, 18, 9648]",1018,en,Mulholland Drive,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",11.846,/tVxGt7uffLVhIIcwuldXOMpFBPX.jpg,2001-09-08,Mulholland Drive,False,7.8,3386
7,False,/6fqmcCVci3cSBCgJw8NGXE4ST8G.jpg,"[12, 35, 14]",762,en,Monty Python and the Holy Grail,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",22.347,/8AVb7tyxZRsbKJNOTJHQZl7JYWO.jpg,1975-05-25,Monty Python and the Holy Grail,False,7.8,3463
8,False,/24e8tT3xTqjvk95Lqx6BzE49RfQ.jpg,"[80, 53]",6075,en,Carlito's Way,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside NYC.",10.036,/tGPqPHuOCbyFxwllrYgKkPDu9xB.jpg,1993-11-10,Carlito's Way,False,7.8,1680
9,False,/2xcrxh1IPdoyfQ3oG9WocOP0hQV.jpg,"[35, 18, 10749]",703,en,Annie Hall,New York comedian Alvy Singer falls in love with the ditsy Annie Hall.,12.487,/dEtjPywhDbAXYjoFfhBC4U9unU7.jpg,1977-04-19,Annie Hall,False,7.8,2314
10,False,/ld7huGVoyXAY6EsdAUeLh9QxAl6.jpg,"[18, 14, 9648]",141,en,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",18.301,/dGcIsUfeatHYqgp9gX6KOcYT427.jpg,2001-01-18,Donnie Darko,False,7.8,7688
11,False,/ccSes06WBWlhP4EEXeTk26KKQ9W.jpg,[35],203217,pt,Minha Mãe é Uma Peça: O Filme,"After another spat with her kids, Dona Hermínia decides to take some time off from them and hides away in her aunt's house, where she reminisces about her kids in an age when they still needed her.",5.656,/23OQ3DUcDohNibPWcx8xpLRZW0b.jpg,2013-06-21,Minha Mãe é Uma Peça: O Filme,False,7.8,404
12,False,/xqQztbT6KlPLQLlRtNHoXivEMZA.jpg,"[18, 53, 10749]",597,en,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",26.449,/kHXEpyfl6zqn8a6YuozZUujufXf.jpg,1997-11-18,Titanic,False,7.8,16022
13,False,/d3AmCJXvsP818di5KcCj4fNi36.jpg,"[18, 36, 10752]",613,de,Der Untergang,"In April of 1945, Germany stands at the brink of defeat with the Russian Army closing in from the east and the Allied Expeditionary Force attacking from the west. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his generals and advisers to fight to the last man. When the end finally does come, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.",14.469,/2QmpblYvUThzBQ4ArdT1Kp43DZi.jpg,2004-09-08,Downfall,False,7.8,2040
14,False,/vD573qxull6r3jpIRnibUbXNZKi.jpg,"[80, 18, 10749]",1280,ko,빈집,"A young man, whose only possession is a motorcycle, spends his time riding around the city looking for empty apartments. After finding one, he hangs out for a while, fixing himself something to eat, washing laundry or making small repairs in return. He always tries to leave before the owners get back but in one ostensibly empty mansion he meets the abused wife of a rich man and she escapes with him...",10.73,/hr8ghKbdo3UGUROYafpN38Sohfe.jpg,2004-10-15,3-Iron,False,7.8,543
15,False,/k6OTC9mefzorJGr6M4HpRwcDyfU.jpg,"[80, 18, 53]",13855,ko,추격자,"Joong-ho is a dirty detective turned pimp in financial trouble as several of his girls have recently disappeared without clearing their debts. While trying to track them down, he finds a clue that the vanished girls were all called up by the same client whom one of his girls is meeting with right now.",7.273,/rP4TFKB5gKzbitpBFTF1Q71PFn6.jpg,2008-02-14,The Chaser,False,7.8,530
16,False,/7JLq3aQV89IAL2wetJ5f5STswql.jpg,"[16, 18, 10751]",393559,fr,Ma vie de courgette,"After his mother’s death, Zucchini is befriended by a kind police officer, Raymond, who accompanies him to his new foster home filled with other orphans his age. There, with the help of his newfound friends, Zucchini eventually learns to trust and love as he searches for a new family of his own.",5.863,/mZ9JGgCvV4d5KnpT0jSR1pOCLW7.jpg,2016-10-12,My Life as a Zucchini,False,7.8,702
17,False,/kvJNSXRrp3t6GcY9VcfTPEphH7t.jpg,[18],8416,it,Il conformista,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",10.006,/hIjOdQW7vRHjK3VBEYC3fRTfi52.jpg,1970-10-21,The Conformist,False,7.8,298
18,False,/vncja00Ci4tPNnn4TbF3lF8SGWV.jpg,"[80, 18]",12093,sv,Lilja 4-Ever,"Lilya lives in poverty and dreams of a better life. Her mother moves to the United States and abandons her to her aunt, who neglects her. Lilya hangs out with her friends, Natasha and Volodya, who is suicidal. Desperate for money, she starts working as a prostitute, and later meets Andrei. He offers her a good job in Sweden, but when Lilya arrives her life quickly enters a downward spiral.",9.971,/1uqtBLEXFO6qxofV9Hm1SigE3WH.jpg,2002-08-23,Lilya 4-ever,False,7.8,269
19,False,/tUSXZ37j0XpNtmOb5uwqogdcq7E.jpg,"[35, 18]",2108,en,The Breakfast Club,"Five disparate high school students meet in Saturday detention, and discover they have a lot more in common than they thought.",14.326,/4ZejrrCpfoypR5lHoT3pq6yVldW.jpg,1985-02-15,The Breakfast Club,False,7.8,4985
0,False,/7yiI7Z3TSPSOWbEPeWIetZlSzEP.jpg,"[18, 36, 10749]",3870,it,Novecento,"Set in Bertolucci's ancestral region of Emilia, the film chronicles the lives of two men during the political turmoils that took place in Italy in the first half on the 20th century.",9.693,/tgsijnZDsO8WotH4DTarSKC5PMS.jpg,1976-09-01,1900,False,7.8,255
1,False,/saraNY2nnKrtj4KYvOOyE7vnZbz.jpg,"[35, 18, 10749]",49687,it,Matrimonio all'italiana,"In Naples, in the Second World War, the wolf businessman Domenico Soriano meets the seventeen years old whore Filumena Marturano in a brothel during an allied bombing. Two years later, in the post-war, they meet each other by chance and begin a long affair. For twenty-two years, Filumena is his mistress and administrates his shops in Naples while Domenico is traveling. When Domenico decides to marry the young cashier of his bakery, Filumena lures him as if she were near to death and he marries her. Later he annuls their matrimony, and she tells him that she has three sons that she raised secretly, one of them is his legitimate son but she does not disclose his identity. The middle-age Domenico uses the most different subterfuges trying to find which teenager might be his son.",5.704,/bHnc9qzhiwoVhLMsOyua25eOJrE.jpg,1964-12-18,Marriage Italian Style,False,7.8,216
2,False,/16lk65YfrDFIr6evkWRjSeOOSws.jpg,"[16, 14, 10751]",9479,en,The Nightmare Before Christmas,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",16.565,/6oxkO1VgKCq74fNILKAg6t2dVEt.jpg,1993-10-09,The Nightmare Before Christmas,False,7.8,5419
3,False,/fSbiMnUXJ6rrSuf3MN7pFqUtws4.jpg,"[12, 16, 18, 14, 10751]",16859,ja,魔女の宅急便,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",16.105,/3LvTAZayVIWke8XDmiwNR6cX6EP.jpg,1989-07-29,Kiki's Delivery Service,False,7.8,1818
4,False,/pIWTZLpLfryQj4NrCY4ElI8Sk24.jpg,"[80, 53]",1480,en,Touch of Evil,"When a car bomb explodes on the American side of the U.S./Mexico border, Mexican drug enforcement agent Miguel Vargas begins his investigation, along with American police captain Hank Quinlan. When Vargas begins to suspect that Quinlan and his shady partner, Menzies, are planting evidence to frame an innocent man, his investigations into their possible corruption quickly put himself and his new bride, Susie, in jeopardy.",13.042,/1pvRgmfBaoMczIJBOi9gCOZ4FMC.jpg,1958-03-30,Touch of Evil,False,7.8,737
5,False,/oEkMYIWyCB4jSA6LgSWTwZ30VUA.jpg,[35],9421,fr,Le Dîner de cons,"For Pierre Brochant and his friends, Wednesday is “Idiots' Day”. The idea is simple: each person has to bring along an idiot. The one who brings the most spectacular idiot wins the prize. Tonight, Brochant is ecstatic. He has found a gem. The ultimate idiot, “A world champion idiot!”. What Brochant doesn’t know is that Pignon is a real jinx, a past master in the art of bringing on catastrophes...",9.542,/n57PfOOjoAzBBGJ87QJNkO40YzE.jpg,1998-04-15,The Dinner Game,False,7.8,1010
